UNIQ,PROBDENSITY,RA,DEC
1492,4.013280496771474e-15,165.0,63.44828368030105
1493,1.4438581969147034e-14,174.375,66.44353569089876
1494,5.294508338429654e-15,163.125,66.44353569089876
1495,2.932184846479362e-14,173.57142857142858,69.42254649458224
1496,3.4057373047370956e-15,145.0,63.44828368030105
1497,8.665863864774446e-15,151.875,66.44353569089876
1498,4.921562612517684e-15,140.625,66.44353569089876
1499,1.7417185360340118e-14,147.85714285714286,69.42254649458222
1500,1.0558223734281977e-14,160.71428571428572,69.4225464945822
1501,1.0737430953514288e-13,172.5,72.38756092964962
1502,3.710198377078415e-14,157.5,72.38756092964962
1503,8.55281481566469e-13,171.0,75.34073424154307
1504,2.1444120814789486e-15,118.63636363636364,57.39952353962295
1505,2.7392372850837605e-15,121.5,60.434438844952275
1506,4.237237065185666e-15,112.5,60.434438844952275
1507,7.369244448362681e-15,115.0,63.44828368030105
1508,4.240289097481943e-15,125.00000000000001,63.44828368030105
1509,9.020188511041476e-15,129.375,66.44353569089876
1510,1.4920862003071702e-14,118.125,66.44353569089876
1511,3.7647124950151465e-14,122.14285714285714,69.42254649458222
1512,2.5216197093182527e-14,105.0,63.44828368030105
1513,7.310747483823715e-14,106.875,66.44353569089876
1514,1.0633772375414241e-12,95.625,66.44353569089876
1515,5.840107329783965e-12,96.42857142857143,69.4225464945822
1516,2.807182808303995e-13,109.28571428571429,69.42254649458224
1517,1.3080675310542257e-12,112.5,72.38756092964962
1518,3.79356349845469e-11,97.5,72.38756092964962
1519,2.7636997780870727e-10,99.0,75.34073424154307
1520,1.720010342254201e-14,135.0,69.42254649458222
1521,4.763807837671763e-14,142.5,72.38756092964962
1522,1.7406895760389265e-13,127.50000000000001,72.38756092964962
1523,6.427410590764093e-13,135.0,75.34073424154307
1524,3.902694031670766e-13,153.0,75.34073424154307
1525,1.776354875232701e-11,168.75,78.28414760510763
1526,1.1006741438516254e-11,146.25,78.28414760510763
1527,6.194648418346149e-10,165.00000000000003,81.21982231598935
1528,4.608534058411761e-12,117.0,75.34073424154307
1529,2.8862906878113756e-11,123.74999999999999,78.28414760510763
1530,2.3969379336315155e-09,101.25,78.28414760510763
1532,3.773080880364024e-10,135.0,81.21982231598935
1533,8.572429583119196e-09,157.5,84.14973293629666
1536,1.0008669754047236e-13,224.99999999999997,2.388015463268777
1537,7.062189422320506e-14,227.81249999999997,4.780191847199159
1538,1.72260630416134e-13,222.1875,4.780191847199159
1539,1.1417375632400614e-13,224.99999999999997,7.180755781458282
1540,6.898377760458318e-14,230.62499999999994,7.180755781458282
1541,8.945536360795617e-14,233.43750000000003,9.594068226860461
1542,8.744659009298896e-14,227.81249999999997,9.594068226860461
1543,9.149535108314143e-14,230.62499999999994,12.024699180565822
1544,2.974953672973428e-13,219.375,7.180755781458282
1545,1.91598479417269e-13,222.18749999999997,9.594068226860461
1546,4.790056661927132e-13,216.56249999999997,9.594068226860461
1547,3.202798020340051e-13,219.37499999999997,12.024699180565822
1548,1.2731402914417786e-13,225.0,12.024699180565822
1549,9.967623516249965e-14,227.81249999999997,14.477512185929925
1550,2.0312699781298086e-13,222.18749999999997,14.477512185929925
1551,1.3295329624653917e-13,224.99999999999997,16.957763300004142
1552,1.1185250221296149e-13,236.25,12.024699180565822
1553,1.8022505698418876e-13,239.0625,14.477512185929925
1554,1.1481542278192687e-13,233.43750000000003,14.477512185929925
1555,1.868322186066139e-13,236.25,16.957763300004142
1556,4.152769232812297e-13,241.875,16.957763300004142
1557,8.721874374297819e-13,244.68749999999997,19.47122063449069
1558,5.502324883704779e-13,239.0625,19.47122063449069
1559,1.7251500696939866e-12,241.875,22.024312837042164
1560,9.847700896485665e-14,230.62499999999994,16.957763300004142
